YYYY DOY HR MN      1
2016 359  0  0   3.000
2016 359  3  0   2.667
2016 359  6  0   2.667
2016 359  9  0   2.000
2016 359 12  0   3.000
2016 359 15  0   3.333
2016 359 18  0   2.333
2016 359 21  0   2.000
2016 360  0  0   3.333
2016 360  3  0   3.333
2016 360  6  0   2.000
2016 360  9  0   3.667
2016 360 12  0   4.000
2016 360 15  0   4.000
2016 360 18  0   4.000
2016 360 21  0   2.667
2016 361  0  0   4.667
2016 361  3  0   3.333
2016 361  6  0   3.333
2016 361  9  0   3.000
2016 361 12  0   3.667
2016 361 15  0   3.667
2016 361 18  0   2.667
2016 361 21  0   3.333
2016 362  0  0   3.667
2016 362  3  0   3.333
2016 362  6  0   2.000
2016 362  9  0   2.000
2016 362 12  0   2.333
2016 362 15  0   1.333
2016 362 18  0   2.000
2016 362 21  0   2.667
