YYYY DOY HR MN      1
2016 355  0  0   1.000
2016 355  3  0   1.000
2016 355  6  0   1.000
2016 355  9  0   1.333
2016 355 12  0   1.000
2016 355 15  0   2.000
2016 355 18  0   0.667
2016 355 21  0   2.667
2016 356  0  0   2.000
2016 356  3  0   2.000
2016 356  6  0   1.333
2016 356  9  0   3.000
2016 356 12  0   3.333
2016 356 15  0   6.000
2016 356 18  0   4.000
2016 356 21  0   4.000
2016 357  0  0   4.667
2016 357  3  0   4.333
2016 357  6  0   3.333
2016 357  9  0   3.000
2016 357 12  0   3.000
2016 357 15  0   2.667
2016 357 18  0   4.000
2016 357 21  0   3.000
2016 358  0  0   3.000
2016 358  3  0   4.000
2016 358  6  0   2.667
2016 358  9  0   3.333
2016 358 12  0   3.000
2016 358 15  0   3.333
2016 358 18  0   4.000
2016 358 21  0   3.667
2016 359  0  0   3.000
2016 359  3  0   2.667
2016 359  6  0   2.667
2016 359  9  0   2.000
2016 359 12  0   3.000
2016 359 15  0   3.333
2016 359 18  0   2.333
2016 359 21  0   2.000
