YYYY DOY HR MN      1
2017  31  0  0   2.667
2017  31  3  0   3.000
2017  31  6  0   3.333
2017  31  9  0   3.333
2017  31 12  0   3.333
2017  31 15  0   4.333
2017  31 18  0   4.000
2017  31 21  0   4.667
2017  32  0  0   4.333
2017  32  3  0   3.333
2017  32  6  0   3.333
2017  32  9  0   3.000
2017  32 12  0   4.000
2017  32 15  0   5.000
2017  32 18  0   3.333
2017  32 21  0   5.000
2017  33  0  0   3.333
2017  33  3  0   3.667
2017  33  6  0   3.667
2017  33  9  0   3.333
2017  33 12  0   2.667
2017  33 15  0   3.667
2017  33 18  0   3.667
2017  33 21  0   4.333
2017  34  0  0   3.333
2017  34  3  0   3.667
2017  34  6  0   4.333
2017  34  9  0   2.333
2017  34 12  0   3.000
2017  34 15  0   3.333
2017  34 18  0   3.000
2017  34 21  0   3.000
