YYYY DOY HR MN      1
2017  79  0  0   0.333
2017  79  3  0   0.000
2017  79  6  0   0.333
2017  79  9  0   0.333
2017  79 12  0   0.000
2017  79 15  0   0.667
2017  79 18  0   0.333
2017  79 21  0   0.000
2017  80  0  0   1.000
2017  80  3  0   3.333
2017  80  6  0   4.000
2017  80  9  0   2.333
2017  80 12  0   3.000
2017  80 15  0   4.667
2017  80 18  0   5.333
2017  80 21  0   4.000
2017  81  0  0   4.000
2017  81  3  0   3.667
2017  81  6  0   2.667
2017  81  9  0   3.333
2017  81 12  0   3.667
2017  81 15  0   4.000
2017  81 18  0   4.333
2017  81 21  0   4.333
2017  82  0  0   4.000
2017  82  3  0   3.333
2017  82  6  0   2.000
2017  82  9  0   1.667
2017  82 12  0   1.000
2017  82 15  0   2.000
2017  82 18  0   0.667
2017  82 21  0   0.667
