YYYY DOY HR MN      1
2016 298  0  0   3.667
2016 298  3  0   3.667
2016 298  6  0   2.667
2016 298  9  0   2.000
2016 298 12  0   3.667
2016 298 15  0   3.000
2016 298 18  0   2.000
2016 298 21  0   3.667
2016 299  0  0   4.333
2016 299  3  0   4.333
2016 299  6  0   3.333
2016 299  9  0   5.000
2016 299 12  0   6.333
2016 299 15  0   6.333
2016 299 18  0   5.333
2016 299 21  0   6.000
2016 300  0  0   4.667
2016 300  3  0   5.000
2016 300  6  0   3.667
2016 300  9  0   5.667
2016 300 12  0   4.000
2016 300 15  0   5.667
2016 300 18  0   4.667
2016 300 21  0   4.667
2016 301  0  0   4.333
2016 301  3  0   4.667
2016 301  6  0   3.667
2016 301  9  0   3.000
2016 301 12  0   3.333
2016 301 15  0   4.667
2016 301 18  0   4.000
2016 301 21  0   3.333
2016 302  0  0   2.667
2016 302  3  0   2.667
2016 302  6  0   3.333
2016 302  9  0   2.667
2016 302 12  0   2.667
2016 302 15  0   3.333
2016 302 18  0   3.000
2016 302 21  0   4.333
2016 303  0  0   5.000
2016 303  3  0   5.333
2016 303  6  0   4.667
2016 303  9  0   3.333
2016 303 12  0   3.667
2016 303 15  0   2.333
2016 303 18  0   2.667
2016 303 21  0   2.333
2016 304  0  0   4.000
2016 304  3  0   3.333
2016 304  6  0   3.000
2016 304  9  0   2.333
2016 304 12  0   3.667
2016 304 15  0   3.333
2016 304 18  0   3.000
2016 304 21  0   2.000
