YYYY DOY HR MN      1
2016 328  0  0   4.000
2016 328  3  0   3.000
2016 328  6  0   2.667
2016 328  9  0   1.667
2016 328 12  0   1.333
2016 328 15  0   1.667
2016 328 18  0   2.667
2016 328 21  0   1.000
2016 329  0  0   3.667
2016 329  3  0   2.333
2016 329  6  0   3.000
2016 329  9  0   3.000
2016 329 12  0   4.667
2016 329 15  0   3.333
2016 329 18  0   3.667
2016 329 21  0   3.667
2016 330  0  0   4.333
2016 330  3  0   5.333
2016 330  6  0   5.000
2016 330  9  0   2.667
2016 330 12  0   4.333
2016 330 15  0   3.667
2016 330 18  0   4.333
2016 330 21  0   2.000
2016 331  0  0   2.667
2016 331  3  0   3.000
2016 331  6  0   2.333
2016 331  9  0   2.333
2016 331 12  0   2.000
2016 331 15  0   3.000
2016 331 18  0   2.667
2016 331 21  0   2.000
