YYYY DOY HR MN      1
2017   6  0  0   3.667
2017   6  3  0   3.667
2017   6  6  0   2.667
2017   6  9  0   2.333
2017   6 12  0   2.667
2017   6 15  0   2.667
2017   6 18  0   2.667
2017   6 21  0   3.000
2017   7  0  0   3.667
2017   7  3  0   3.000
2017   7  6  0   3.333
2017   7  9  0   2.667
2017   7 12  0   4.333
2017   7 15  0   4.000
2017   7 18  0   3.333
2017   7 21  0   3.000
2017   8  0  0   3.000
2017   8  3  0   2.667
2017   8  6  0   2.333
2017   8  9  0   3.333
2017   8 12  0   3.000
2017   8 15  0   2.667
2017   8 18  0   3.667
2017   8 21  0   4.000
2017   9  0  0   3.333
2017   9  3  0   2.333
2017   9  6  0   1.667
2017   9  9  0   2.000
2017   9 12  0   3.333
2017   9 15  0   3.333
2017   9 18  0   1.333
2017   9 21  0   2.333
