YYYY DOY HR MN      1
2016 342  0  0   0.000
2016 342  3  0   1.667
2016 342  6  0   3.000
2016 342  9  0   2.000
2016 342 12  0   1.667
2016 342 15  0   2.667
2016 342 18  0   3.000
2016 342 21  0   2.667
2016 343  0  0   3.333
2016 343  3  0   4.000
2016 343  6  0   2.667
2016 343  9  0   2.667
2016 343 12  0   2.667
2016 343 15  0   4.000
2016 343 18  0   4.333
2016 343 21  0   4.000
2016 344  0  0   4.000
2016 344  3  0   2.000
2016 344  6  0   3.333
2016 344  9  0   3.667
2016 344 12  0   3.000
2016 344 15  0   3.667
2016 344 18  0   4.667
2016 344 21  0   4.667
2016 345  0  0   4.000
2016 345  3  0   3.333
2016 345  6  0   2.333
2016 345  9  0   3.333
2016 345 12  0   2.667
2016 345 15  0   2.667
2016 345 18  0   3.000
2016 345 21  0   2.667
