YYYY DOY HR MN      1
2017 284  0  0   3.333
2017 284  3  0   4.000
2017 284  6  0   4.667
2017 284  9  0   3.667
2017 284 12  0   4.000
2017 284 15  0   4.667
2017 284 18  0   4.000
2017 284 21  0   3.667
2017 285  0  0   5.000
2017 285  3  0   3.333
2017 285  6  0   4.000
2017 285  9  0   4.333
2017 285 12  0   4.333
2017 285 15  0   3.333
2017 285 18  0   3.000
2017 285 21  0   3.667
2017 286  0  0   2.667
2017 286  3  0   4.333
2017 286  6  0   2.000
2017 286  9  0   3.333
2017 286 12  0   5.667
2017 286 15  0   4.667
2017 286 18  0   5.667
2017 286 21  0   5.333
2017 287  0  0   5.000
2017 287  3  0   4.333
2017 287  6  0   4.667
2017 287  9  0   5.000
2017 287 12  0   3.667
2017 287 15  0   4.000
2017 287 18  0   3.000
2017 287 21  0   2.667
2017 288  0  0   4.333
2017 288  3  0   5.333
2017 288  6  0   2.667
2017 288  9  0   4.000
2017 288 12  0   4.333
2017 288 15  0   3.667
2017 288 18  0   3.000
2017 288 21  0   0.667
