YYYY DOY HR MN      1
2017  60  0  0   3.000
2017  60  3  0   3.000
2017  60  6  0   3.333
2017  60  9  0   4.667
2017  60 12  0   4.667
2017  60 15  0   4.333
2017  60 18  0   5.333
2017  60 21  0   5.667
2017  61  0  0   5.333
2017  61  3  0   4.333
2017  61  6  0   4.000
2017  61  9  0   4.667
2017  61 12  0   4.667
2017  61 15  0   3.333
2017  61 18  0   4.333
2017  61 21  0   2.333
2017  62  0  0   3.333
2017  62  3  0   4.000
2017  62  6  0   4.000
2017  62  9  0   3.667
2017  62 12  0   3.000
2017  62 15  0   4.000
2017  62 18  0   2.000
2017  62 21  0   1.000
2017  63  0  0   4.333
2017  63  3  0   4.000
2017  63  6  0   3.000
2017  63  9  0   3.000
2017  63 12  0   2.667
2017  63 15  0   3.000
2017  63 18  0   2.667
2017  63 21  0   4.333
2017  64  0  0   2.667
2017  64  3  0   2.667
2017  64  6  0   3.000
2017  64  9  0   3.000
2017  64 12  0   2.667
2017  64 15  0   3.000
2017  64 18  0   4.333
2017  64 21  0   4.000
2017  65  0  0   4.000
2017  65  3  0   3.000
2017  65  6  0   1.333
2017  65  9  0   3.667
2017  65 12  0   3.667
2017  65 15  0   3.333
2017  65 18  0   5.000
2017  65 21  0   4.000
