YYYY DOY HR MN      1
2017 146  0  0   1.000
2017 146  3  0   0.333
2017 146  6  0   0.333
2017 146  9  0   0.667
2017 146 12  0   0.333
2017 146 15  0   0.333
2017 146 18  0   0.667
2017 146 21  0   0.000
2017 147  0  0   0.667
2017 147  3  0   0.333
2017 147  6  0   0.000
2017 147  9  0   0.000
2017 147 12  0   1.000
2017 147 15  0   3.333
2017 147 18  0   2.667
2017 147 21  0   5.667
2017 148  0  0   6.000
2017 148  3  0   7.000
2017 148  6  0   6.000
2017 148  9  0   5.000
2017 148 12  0   3.667
2017 148 15  0   1.667
2017 148 18  0   1.000
2017 148 21  0   0.667
2017 149  0  0   0.333
2017 149  3  0   0.333
2017 149  6  0   0.667
2017 149  9  0   1.667
2017 149 12  0   4.000
2017 149 15  0   3.333
2017 149 18  0   2.333
2017 149 21  0   0.667
