YYYY DOY HR MN      1
2017  86  0  0   2.333
2017  86  3  0   5.000
2017  86  6  0   4.667
2017  86  9  0   5.667
2017  86 12  0   4.333
2017  86 15  0   5.333
2017  86 18  0   6.333
2017  86 21  0   4.000
2017  87  0  0   5.333
2017  87  3  0   5.333
2017  87  6  0   3.333
2017  87  9  0   3.667
2017  87 12  0   3.333
2017  87 15  0   3.000
2017  87 18  0   3.333
2017  87 21  0   3.000
2017  88  0  0   3.667
2017  88  3  0   3.333
2017  88  6  0   4.000
2017  88  9  0   3.333
2017  88 12  0   3.000
2017  88 15  0   4.333
2017  88 18  0   2.000
2017  88 21  0   3.333
2017  89  0  0   3.333
2017  89  3  0   4.000
2017  89  6  0   2.667
2017  89  9  0   1.667
2017  89 12  0   3.000
2017  89 15  0   3.333
2017  89 18  0   4.000
2017  89 21  0   4.333
2017  90  0  0   4.667
2017  90  3  0   4.667
2017  90  6  0   4.333
2017  90  9  0   3.667
2017  90 12  0   4.000
2017  90 15  0   4.000
2017  90 18  0   3.000
2017  90 21  0   3.333
