YYYY DOY HR MN      1
2016 316  0  0   4.333
2016 316  3  0   2.000
2016 316  6  0   1.667
2016 316  9  0   2.000
2016 316 12  0   1.667
2016 316 15  0   2.333
2016 316 18  0   1.667
2016 316 21  0   3.333
2016 317  0  0   2.667
2016 317  3  0   3.667
2016 317  6  0   2.333
2016 317  9  0   4.000
2016 317 12  0   3.667
2016 317 15  0   3.333
2016 317 18  0   3.000
2016 317 21  0   3.333
2016 318  0  0   3.667
2016 318  3  0   3.667
2016 318  6  0   3.333
2016 318  9  0   3.333
2016 318 12  0   3.000
2016 318 15  0   3.000
2016 318 18  0   4.667
2016 318 21  0   3.667
2016 319  0  0   1.333
2016 319  3  0   2.333
2016 319  6  0   2.333
2016 319  9  0   2.333
2016 319 12  0   2.667
2016 319 15  0   3.000
2016 319 18  0   1.667
2016 319 21  0   3.000
