YYYY DOY HR MN      1
2016 188  0  0   0.000
2016 188  3  0   0.333
2016 188  6  0   0.333
2016 188  9  0   0.667
2016 188 12  0   0.667
2016 188 15  0   1.000
2016 188 18  0   1.333
2016 188 21  0   2.667
2016 189  0  0   2.667
2016 189  3  0   2.667
2016 189  6  0   2.667
2016 189  9  0   2.667
2016 189 12  0   3.333
2016 189 15  0   4.333
2016 189 18  0   4.667
2016 189 21  0   4.333
2016 190  0  0   3.333
2016 190  3  0   2.333
2016 190  6  0   3.333
2016 190  9  0   3.667
2016 190 12  0   4.000
2016 190 15  0   3.667
2016 190 18  0   4.000
2016 190 21  0   2.333
2016 191  0  0   3.333
2016 191  3  0   2.333
2016 191  6  0   3.333
2016 191  9  0   2.333
2016 191 12  0   3.000
2016 191 15  0   3.000
2016 191 18  0   2.333
2016 191 21  0   1.667
