YYYY DOY HR MN      1
2016 215  0  0   1.000
2016 215  3  0   1.333
2016 215  6  0   1.333
2016 215  9  0   2.333
2016 215 12  0   2.333
2016 215 15  0   3.667
2016 215 18  0   4.333
2016 215 21  0   5.000
2016 216  0  0   5.000
2016 216  3  0   4.000
2016 216  6  0   4.667
2016 216  9  0   5.000
2016 216 12  0   4.000
2016 216 15  0   4.667
2016 216 18  0   3.000
2016 216 21  0   3.000
2016 217  0  0   3.667
2016 217  3  0   3.333
2016 217  6  0   2.667
2016 217  9  0   2.667
2016 217 12  0   3.000
2016 217 15  0   4.000
2016 217 18  0   3.000
2016 217 21  0   1.667
2016 218  0  0   1.333
2016 218  3  0   3.667
2016 218  6  0   3.667
2016 218  9  0   4.000
2016 218 12  0   3.000
2016 218 15  0   2.667
2016 218 18  0   2.000
2016 218 21  0   3.333
