YYYY DOY HR MN      1
2017 111  0  0   0.333
2017 111  3  0   1.333
2017 111  6  0   1.000
2017 111  9  0   0.333
2017 111 12  0   1.667
2017 111 15  0   4.333
2017 111 18  0   5.000
2017 111 21  0   4.667
2017 112  0  0   5.000
2017 112  3  0   5.667
2017 112  6  0   5.000
2017 112  9  0   5.000
2017 112 12  0   5.000
2017 112 15  0   4.667
2017 112 18  0   3.667
2017 112 21  0   5.333
2017 113  0  0   4.000
2017 113  3  0   4.000
2017 113  6  0   5.333
2017 113  9  0   4.333
2017 113 12  0   5.000
2017 113 15  0   4.667
2017 113 18  0   4.000
2017 113 21  0   4.333
2017 114  0  0   3.333
2017 114  3  0   4.000
2017 114  6  0   3.333
2017 114  9  0   3.667
2017 114 12  0   2.000
2017 114 15  0   3.333
2017 114 18  0   3.667
2017 114 21  0   3.333
2017 115  0  0   2.667
2017 115  3  0   2.667
2017 115  6  0   2.333
2017 115  9  0   2.000
2017 115 12  0   3.000
2017 115 15  0   2.000
2017 115 18  0   2.333
2017 115 21  0   2.000
