YYYY DOY HR MN      1
2016 245  0  0   4.000
2016 245  3  0   3.667
2016 245  6  0   4.000
2016 245  9  0   3.000
2016 245 12  0   4.000
2016 245 15  0   3.333
2016 245 18  0   4.667
2016 245 21  0   5.000
2016 246  0  0   6.000
2016 246  3  0   5.333
2016 246  6  0   3.000
2016 246  9  0   3.333
2016 246 12  0   4.667
2016 246 15  0   4.000
2016 246 18  0   2.667
2016 246 21  0   5.000
2016 247  0  0   3.667
2016 247  3  0   5.667
2016 247  6  0   4.667
2016 247  9  0   4.000
2016 247 12  0   4.333
2016 247 15  0   4.667
2016 247 18  0   4.333
2016 247 21  0   4.333
2016 248  0  0   4.333
2016 248  3  0   3.333
2016 248  6  0   4.000
2016 248  9  0   3.667
2016 248 12  0   3.667
2016 248 15  0   4.000
2016 248 18  0   4.333
2016 248 21  0   3.667
2016 249  0  0   3.000
2016 249  3  0   3.333
2016 249  6  0   3.333
2016 249  9  0   2.333
2016 249 12  0   1.333
2016 249 15  0   3.333
2016 249 18  0   4.667
2016 249 21  0   3.000
