Date,Kp_sum,Has_Magnetometer_Data
2017-01-05,25.0,True
2017-01-07,27.333,True
2017-01-08,24.667,True
2017-01-27,26.333,True
2017-01-31,28.666,True
2017-02-01,31.332,True
2017-02-02,28.334,True
2017-02-03,25.999,True
2017-02-17,26.0,True
2017-02-24,25.334,True
2017-03-01,34.0,True
2017-03-02,32.999,True
2017-03-03,25.0,True
2017-03-04,27.0,True
2017-03-05,25.334,True
2017-03-06,28.0,True
2017-03-21,27.666,True
2017-03-22,30.0,True
2017-03-27,37.666,True
2017-03-28,30.332,True
2017-03-29,26.999,True
2017-03-30,26.333,True
2017-03-31,31.667,True
2017-04-20,30.334,True
2017-04-22,39.334,True
2017-04-23,35.666,True
2017-04-24,26.666,True
2017-05-20,29.001,False
2017-05-28,31.001,True
2017-06-16,27.334,True
2017-07-02,24.667,True
2017-07-09,27.666,True
2017-07-16,34.667,True
2017-07-17,28.667,True
2017-08-04,28.332,True
2017-08-17,29.002,True
2017-08-18,26.001,False
2017-08-19,32.666,False
2017-08-20,26.332,False
2017-08-23,28.334,True
2017-08-31,30.667,True
2017-09-02,26.002,True
2017-09-07,28.669,False
2017-09-08,48.666,False
2017-09-14,25.333,False
2017-09-15,34.0,False
2017-09-16,30.999,False
2017-09-18,27.334,False
2017-09-27,33.668,False
2017-09-28,39.001,False
2017-10-11,32.001,True
2017-10-12,30.999,True
2017-10-13,33.667,True
2017-10-14,32.334,True
2017-10-15,28.0,True
2017-10-25,26.333,False
2017-10-26,24.333,False
2017-11-07,30.668,False
2017-11-08,36.999,False
2017-11-09,26.667,False
2017-11-10,27.334,False
2017-11-21,31.334,False
2017-12-05,31.667,False
2017-12-17,28.668,False
