Date,Kp_sum
2016-10-09,10.0
2016-10-10,16.667
2016-10-11,3.0
2016-10-12,8.0
2016-10-13,36.666
2016-10-14,22.669
2016-10-15,18.667
2016-10-16,23.667
2016-10-17,27.666
2016-10-18,16.666
2016-10-19,11.333
2016-10-20,3.665
2016-10-21,1.3330000000000002
2016-10-22,9.667
2016-10-23,16.0
2016-10-24,24.335
2016-10-25,40.998000000000005
2016-10-26,38.001999999999995
2016-10-27,31.0
2016-10-28,24.667
2016-10-29,29.333
2016-10-30,24.666
2016-10-31,16.0
2016-11-01,19.334
2016-11-02,21.334
2016-11-03,24.668
2016-11-04,7.334
2016-11-05,3.0
2016-11-06,8.666
2016-11-07,6.001
2016-11-08,3.333
2016-11-09,12.001
2016-11-10,21.667
2016-11-11,19.0
2016-11-12,26.0
2016-11-13,28.334
2016-11-14,18.666
2016-11-15,13.332
2016-11-16,7.334
2016-11-17,4.998
2016-11-18,3.999
2016-11-19,2.0
2016-11-20,4.0
2016-11-21,10.667000000000002
2016-11-22,17.333
2016-11-23,18.000999999999998
2016-11-24,27.334
2016-11-25,31.666
2016-11-26,20.0
2016-11-27,16.333
2016-11-28,15.0
2016-11-29,9.667
2016-11-30,4.9990000000000006
2016-12-01,4.0
2016-12-02,6.667
2016-12-03,2.6660000000000004
2016-12-04,1.3330000000000002
2016-12-05,7.0
2016-12-06,12.665
2016-12-07,16.668
2016-12-08,27.667
2016-12-09,29.000999999999998
2016-12-10,24.0
2016-12-11,22.333000000000002
2016-12-12,9.999
2016-12-13,7.0
2016-12-14,7.0
2016-12-15,3.333
2016-12-16,2.333
2016-12-17,8.999
2016-12-18,15.0
2016-12-19,9.667
2016-12-20,10.667
2016-12-21,25.666
2016-12-22,28.0
2016-12-23,27.0
2016-12-24,21.0
2016-12-25,27.0
2016-12-26,27.667
2016-12-27,19.333
2016-12-28,10.0
2016-12-29,8.332
2016-12-30,4.333
2016-12-31,20.333
2017-01-01,21.0
2017-01-02,12.0
2017-01-03,18.668
2017-01-04,17.666
2017-01-05,25.0
2017-01-06,23.335
2017-01-07,27.333
2017-01-08,24.667
2017-01-09,19.665
2017-01-10,17.000999999999998
2017-01-11,14.333
2017-01-12,7.666
2017-01-13,7.0
2017-01-14,7.334
2017-01-15,9.334
2017-01-16,2.333
2017-01-17,4.9990000000000006
2017-01-18,22.0
2017-01-19,17.668
2017-01-20,17.999000000000002
2017-01-21,17.999000000000002
2017-01-22,17.667
2017-01-23,8.001
2017-01-24,4.667
2017-01-25,8.667
2017-01-26,17.000999999999998
2017-01-27,26.333
2017-01-28,15.667
2017-01-29,13.333
2017-01-30,11.666
2017-01-31,28.666
2017-02-01,31.332
2017-02-02,28.334
2017-02-03,25.999000000000002
2017-02-04,18.666
2017-02-05,23.334
2017-02-06,21.001
2017-02-07,14.667
2017-02-08,8.334
2017-02-09,13.666
2017-02-10,14.665000000000001
2017-02-11,6.334
2017-02-12,4.9990000000000006
2017-02-13,9.999
2017-02-14,1.667
2017-02-15,4.668
2017-02-16,15.666
2017-02-17,26.0
2017-02-18,22.332
2017-02-19,16.999
2017-02-20,16.0
2017-02-21,8.0
2017-02-22,16.334
2017-02-23,18.666
2017-02-24,25.334
2017-02-25,11.334
2017-02-26,2.667
2017-02-27,12.667
2017-02-28,15.0
2017-03-01,34.0
2017-03-02,32.999
2017-03-03,25.0
2017-03-04,27.0
2017-03-05,25.334
2017-03-06,28.0
2017-03-07,23.333
2017-03-08,18.668
2017-03-09,22.0
2017-03-10,16.999000000000002
2017-03-11,8.667
2017-03-12,13.334
2017-03-13,4.0
2017-03-14,8.0
2017-03-15,11.334
2017-03-16,8.666
2017-03-17,4.665
2017-03-18,3.0
2017-03-19,2.6670000000000003
2017-03-20,1.999
2017-03-21,27.666
2017-03-22,30.0
2017-03-23,15.334
2017-03-24,10.667
2017-03-25,5.333
2017-03-26,6.0
2017-03-27,37.666
2017-03-28,30.332
2017-03-29,26.999000000000002
2017-03-30,26.333
2017-03-31,31.667
2017-04-01,23.667
2017-04-02,14.332
2017-04-03,7.667
2017-04-04,23.668
2017-04-05,15.332
2017-04-06,12.332
2017-04-07,16.001
2017-04-08,23.334
2017-04-09,20.667
2017-04-10,8.998000000000001
2017-04-11,18.333
2017-04-12,8.332
2017-04-13,7.332
2017-04-14,20.334
2017-04-15,10.333
2017-04-16,6.333
2017-04-17,6.333
2017-04-18,10.666
2017-04-19,20.666
2017-04-20,30.334
2017-04-21,18.666
2017-04-22,39.334
2017-04-23,35.666
2017-04-24,26.666
2017-04-25,19.0
2017-04-26,16.332
2017-04-27,12.333
2017-04-28,10.333
2017-04-29,11.667
2017-04-30,10.334
2017-05-01,8.999
2017-05-02,7.333
2017-05-03,5.333
2017-05-04,9.333
2017-05-05,6.999
2017-05-06,8.334
2017-05-07,15.334
2017-05-08,10.667
2017-05-09,10.666
2017-05-10,10.001
2017-05-11,11.001
2017-05-12,13.666
2017-05-13,7.0
2017-05-14,16.667
2017-05-15,19.000999999999998
2017-05-16,15.0
2017-05-17,14.333
2017-05-18,15.333
2017-05-19,20.667
2017-05-20,29.000999999999998
2017-05-21,15.667
2017-05-22,17.667
2017-05-23,14.333
2017-05-24,5.666
2017-05-25,4.333
2017-05-26,3.6660000000000004
2017-05-27,13.667
2017-05-28,31.001
2017-05-29,13.333
2017-05-30,9.0
2017-05-31,6.666
2017-06-01,11.0
2017-06-02,8.334
2017-06-03,14.0
2017-06-04,2.999
2017-06-05,9.333
2017-06-06,8.334
2017-06-07,8.334
2017-06-08,5.666
2017-06-09,6.0
2017-06-10,5.333
2017-06-11,20.333
2017-06-12,13.332
2017-06-13,12.333
2017-06-14,10.0
2017-06-15,6.333
2017-06-16,27.334
2017-06-17,22.0
2017-06-18,18.666
2017-06-19,9.333
2017-06-20,3.333
2017-06-21,6.333
2017-06-22,8.332
2017-06-23,8.667
2017-06-24,16.667
2017-06-25,17.666
2017-06-26,13.334
2017-06-27,8.334
2017-06-28,6.666
2017-06-29,8.335
2017-06-30,5.668
2017-07-01,20.334
2017-07-02,24.667
2017-07-03,10.334
2017-07-04,6.9990000000000006
2017-07-05,2.332
2017-07-06,11.334
2017-07-07,7.9990000000000006
2017-07-08,3.999
2017-07-09,27.666
2017-07-10,13.668
2017-07-11,13.666
2017-07-12,6.668
2017-07-13,5.667
2017-07-14,3.3320000000000003
2017-07-15,5.3340000000000005
2017-07-16,34.667
2017-07-17,28.667
2017-07-18,11.333
2017-07-19,5.333
2017-07-20,11.668
2017-07-21,20.665
2017-07-22,22.665
2017-07-23,21.334
2017-07-24,19.0
2017-07-25,17.999000000000002
2017-07-26,15.999
2017-07-27,10.0
2017-07-28,13.334
2017-07-29,6.333
2017-07-30,5.334
2017-07-31,4.333
2017-08-01,8.667
2017-08-02,8.001
2017-08-03,15.001
2017-08-04,28.332
2017-08-05,23.668
2017-08-06,20.332
2017-08-07,9.335
2017-08-08,8.001
2017-08-09,6.999
2017-08-10,8.666
2017-08-11,13.333
2017-08-12,16.334
2017-08-13,14.333
2017-08-14,8.666
2017-08-15,3.999
2017-08-16,10.998999999999999
2017-08-17,29.002
2017-08-18,26.000999999999998
2017-08-19,32.666
2017-08-20,26.332
2017-08-21,18.0
2017-08-22,24.0
2017-08-23,28.334
2017-08-24,16.0
2017-08-25,8.334
2017-08-26,5.666
2017-08-27,15.333
2017-08-28,4.335
2017-08-29,14.332
2017-08-30,6.333
2017-08-31,30.667
2017-09-01,24.0
2017-09-02,26.002
2017-09-03,14.334
2017-09-04,23.335
2017-09-05,19.333
2017-09-06,14.998999999999999
2017-09-07,28.668999999999997
2017-09-08,48.666
2017-09-09,5.666
2017-09-10,8.0
2017-09-11,20.334
2017-09-12,22.333
2017-09-13,18.667
2017-09-14,25.333
2017-09-15,34.0
2017-09-16,30.999000000000002
2017-09-17,21.999
2017-09-18,27.334
2017-09-19,15.0
2017-09-20,16.0
2017-09-21,10.666
2017-09-22,10.332
2017-09-23,8.667
2017-09-24,11.668
2017-09-25,7.665000000000001
2017-09-26,5.9990000000000006
2017-09-27,33.668
2017-09-28,39.001
2017-09-29,20.0
2017-09-30,22.666
2017-10-01,19.334
2017-10-02,9.665000000000001
2017-10-03,10.666
2017-10-04,9.332
2017-10-05,9.333
2017-10-06,15.333
2017-10-07,6.333
2017-10-08,4.9990000000000006
2017-10-09,2.666
2017-10-10,3.332
2017-10-11,32.001
2017-10-12,30.999000000000002
2017-10-13,33.667
2017-10-14,32.334
2017-10-15,28.0
2017-10-16,15.667
2017-10-17,9.999
2017-10-18,8.334
2017-10-19,21.0
2017-10-20,13.667
2017-10-21,16.333000000000002
2017-10-22,10.334
2017-10-23,8.334
2017-10-24,23.000999999999998
