Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2016 215  0  0    1.92 99999.9 99.99     3
2016 215  0  1    0.21   322.5  1.77     3
2016 215  0  2   -0.02   322.5  1.77     3
2016 215  0  3   -0.16   322.5  1.77     3
2016 215  0  4   -0.34 99999.9 99.99     4
2016 215  0  5    1.60 99999.9 99.99     4
2016 215  0  6   -0.25 99999.9 99.99     4
2016 215  0  7   -0.00   322.7  1.80     5
2016 215  0  8    0.39   322.7  1.80     5
2016 215  0  9    0.25   322.7  1.80     5
2016 215  0 10    0.70   322.6  1.83     5
2016 215  0 11    1.02   322.5  1.83     5
2016 215  0 12    0.98 99999.9 99.99     5
2016 215  0 13    1.81 99999.9 99.99     5
2016 215  0 14    2.46   316.0  1.88     5
2016 215  0 15    1.60   316.0  1.88     6
2016 215  0 16    1.95   318.6  1.93     6
2016 215  0 17    2.89   322.5  2.02     6
2016 215  0 18    3.15   322.5  2.02     6
2016 215  0 19    3.15 99999.9 99.99     6
2016 215  0 20    3.10   320.2  1.62     6
2016 215  0 21    3.28   320.2  1.62     6
2016 215  0 22 9999.99 99999.9 99.99     6
2016 215  0 23    3.52   317.6  1.65     6
2016 215  0 24    3.45   317.6  1.65     6
2016 215  0 25    3.11   317.6  1.65     6
2016 215  0 26    3.51   318.3  1.60     6
2016 215  0 27    3.64   318.3  1.60     6
2016 215  0 28    3.02 99999.9 99.99     6
2016 215  0 29 9999.99 99999.9 99.99     6
2016 215  0 30    3.38 99999.9 99.99     6
2016 215  0 31    2.55   319.3  1.58     5
2016 215  0 32    1.05   321.8  1.68     5
2016 215  0 33    1.77   323.5  1.74     5
2016 215  0 34    1.77   323.3  1.77     5
2016 215  0 35    1.60   323.5  1.66     5
2016 215  0 36    1.85   323.7  1.60     6
2016 215  0 37    1.76   324.5  1.61     6
2016 215  0 38    1.68   324.5  1.59     6
2016 215  0 39    1.62   324.5  1.59     6
2016 215  0 40    1.62   324.3  1.57     5
2016 215  0 41    1.63   324.3  1.57     5
2016 215  0 42    1.56 99999.9 99.99     5
2016 215  0 43    1.44   324.7  1.63     5
2016 215  0 44    1.24   324.7  1.63     4
2016 215  0 45    1.04 99999.9 99.99     4
2016 215  0 46    1.45 99999.9 99.99     4
2016 215  0 47    1.62   323.9  1.54     4
2016 215  0 48    1.70   323.9  1.54     4
2016 215  0 49    1.64   323.9  1.54     4
2016 215  0 50    1.59 99999.9 99.99     4
2016 215  0 51    1.56   324.7  1.59     4
2016 215  0 52    1.61   324.7  1.59     5
2016 215  0 53    1.55   324.7  1.59     5
2016 215  0 54    1.51   324.5  1.56     4
2016 215  0 55    1.36   324.5  1.56     4
2016 215  0 56    1.44   323.2  1.55     4
2016 215  0 57    1.28   323.2  1.55     4
2016 215  0 58    0.86   322.0  1.51     4
2016 215  0 59    1.38   321.4  1.55     4
2016 215  1  0    0.62   322.6  1.63     4
2016 215  1  1   -0.37   323.1  1.64     5
2016 215  1  2   -0.01   322.7  1.60     5
2016 215  1  3    0.59 99999.9 99.99     4
2016 215  1  4    0.46   324.8  1.77     4
2016 215  1  5    0.45   324.8  1.77     5
2016 215  1  6    0.05 99999.9 99.99     5
2016 215  1  7    0.12 99999.9 99.99     5
2016 215  1  8    0.10 99999.9 99.99     5
2016 215  1  9    0.13 99999.9 99.99     5
2016 215  1 10    0.15   321.7  1.68     5
2016 215  1 11    0.37   321.7  1.68     5
2016 215  1 12   -1.07   324.3  1.77     4
2016 215  1 13   -0.37   324.3  1.77     4
2016 215  1 14    1.48   318.4  1.37     4
2016 215  1 15    1.40   318.4  1.37     4
2016 215  1 16    1.63 99999.9 99.99     4
