Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2016 298  0  0   -4.01   414.9  2.85   -16
2016 298  0  1   -3.77   416.1  2.99   -16
2016 298  0  2   -3.72   411.9  2.87   -16
2016 298  0  3   -3.91   415.8  2.97   -16
2016 298  0  4   -3.09   413.4  2.75   -16
2016 298  0  5   -3.68   414.4  2.75   -16
2016 298  0  6   -3.75   410.8  2.70   -16
2016 298  0  7   -3.68   409.5  2.64   -16
2016 298  0  8   -3.70   411.2  2.62   -16
2016 298  0  9   -3.63   413.2  2.68   -16
2016 298  0 10   -3.21   409.5  2.74   -16
2016 298  0 11   -3.38   409.7  2.64   -16
2016 298  0 12   -3.32   410.3  2.86   -17
2016 298  0 13   -3.53 99999.9 99.99   -17
2016 298  0 14   -3.33   411.9  2.60   -18
2016 298  0 15   -3.58   411.9  2.60   -18
2016 298  0 16   -4.13 99999.9 99.99   -18
2016 298  0 17   -3.77   412.5  2.92   -19
2016 298  0 18   -4.02   413.7  2.92   -19
2016 298  0 19   -3.80   416.5  2.88   -19
2016 298  0 20   -3.31 99999.9 99.99   -19
2016 298  0 21   -3.62   416.1  2.57   -19
2016 298  0 22   -2.95   413.3  2.90   -19
2016 298  0 23   -1.64   414.5  2.87   -19
2016 298  0 24    0.02   416.2  2.81   -20
2016 298  0 25   -0.53 99999.9 99.99   -20
2016 298  0 26   -0.55 99999.9 99.99   -20
2016 298  0 27   -1.67   415.2  2.83   -20
2016 298  0 28   -1.82   415.2  2.83   -20
2016 298  0 29   -1.85 99999.9 99.99   -20
2016 298  0 30   -1.64   410.7  2.36   -20
2016 298  0 31   -2.00   409.7  2.41   -20
2016 298  0 32   -2.44   412.0  2.68   -20
2016 298  0 33   -2.95   409.2  2.90   -20
2016 298  0 34   -3.64   412.0  2.63   -20
2016 298  0 35   -4.03   405.3  2.56   -20
2016 298  0 36   -2.93   405.2  2.60   -20
2016 298  0 37   -3.84   405.8  2.65   -20
2016 298  0 38 9999.99   406.4  2.74   -20
2016 298  0 39   -2.08   408.3  2.73   -20
2016 298  0 40   -2.35   409.9  2.74   -21
2016 298  0 41   -2.06   412.6  2.74   -21
2016 298  0 42   -2.26   408.9  2.67   -21
2016 298  0 43   -2.75   408.1  2.62   -21
2016 298  0 44   -1.97   409.0  2.53   -22
2016 298  0 45   -2.32   410.7  2.58   -22
2016 298  0 46   -2.79   410.5  2.67   -22
2016 298  0 47   -2.58   410.8  2.68   -21
2016 298  0 48   -2.75   408.1  2.56   -22
2016 298  0 49   -2.61   406.9  2.56   -22
2016 298  0 50   -2.71   407.2  2.55   -22
