Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2016 359  0  0    1.61   665.0  1.14   -33
2016 359  0  1    2.40   665.0  1.14   -34
2016 359  0  2    1.94   674.7  1.22   -33
2016 359  0  3    1.90   674.7  1.22   -33
2016 359  0  4    1.46 99999.9 99.99   -33
2016 359  0  5    1.05   675.2  1.18   -32
2016 359  0  6    0.80   675.2  1.18   -32
2016 359  0  7    0.72 99999.9 99.99   -32
2016 359  0  8    1.54   681.0  1.18   -31
2016 359  0  9    2.12   680.8  1.22   -31
2016 359  0 10    2.02   673.0  1.36   -32
2016 359  0 11    1.04   677.2  1.30   -32
2016 359  0 12   -0.10   674.5  1.51   -32
2016 359  0 13   -0.98   655.4  1.41   -32
2016 359  0 14   -1.56   656.4  1.32   -32
2016 359  0 15   -1.45   654.6  1.19   -33
2016 359  0 16   -0.33   654.6  1.19   -32
2016 359  0 17    0.69   654.1  1.20   -32
2016 359  0 18    0.27   648.3  1.31   -32
2016 359  0 19    2.17   648.3  1.31   -32
2016 359  0 20    0.18   656.0  1.27   -32
2016 359  0 21   -0.37   656.7  1.28   -32
2016 359  0 22   -0.63   659.1  1.28   -32
2016 359  0 23   -0.41   657.3  1.23   -32
2016 359  0 24   -1.20   657.3  1.23   -32
2016 359  0 25    0.31   649.9  1.20   -32
2016 359  0 26    0.06   649.0  1.19   -32
2016 359  0 27   -1.37   646.0  1.16   -32
2016 359  0 28   -0.40   644.3  1.22   -32
2016 359  0 29   -1.03   642.8  1.28   -33
2016 359  0 30   -0.76   644.7  1.25   -33
2016 359  0 31   -1.99   646.1  1.23   -33
2016 359  0 32   -1.95   646.1  1.23   -33
2016 359  0 33   -1.28 99999.9 99.99   -33
2016 359  0 34   -1.81   645.9  1.19   -32
2016 359  0 35    1.79   646.2  1.19   -32
2016 359  0 36    2.76   672.3  1.54   -32
2016 359  0 37    2.78   672.3  1.54   -32
2016 359  0 38    1.86 99999.9 99.99   -32
2016 359  0 39    3.64 99999.9 99.99   -32
2016 359  0 40    3.23   642.4  1.30   -32
2016 359  0 41    3.23   642.4  1.30   -31
2016 359  0 42    3.12   642.4  1.30   -31
2016 359  0 43    2.36   640.0  1.20   -31
2016 359  0 44    2.42   638.6  1.23   -31
2016 359  0 45    2.29   638.1  1.25   -31
2016 359  0 46    2.39 99999.9 99.99   -31
2016 359  0 47    1.71   632.9  1.09   -31
2016 359  0 48    1.54   635.3  1.13   -32
2016 359  0 49    1.81   638.0  1.16   -32
2016 359  0 50    0.50   632.4  1.28   -32
2016 359  0 51   -0.15   632.4  1.28   -32
2016 359  0 52   -0.09   627.6  1.24   -32
2016 359  0 53   -0.10   627.6  1.24   -32
2016 359  0 54   -0.29   630.4  1.29   -32
2016 359  0 55   -1.15   629.2  1.21   -32
2016 359  0 56   -0.92   633.2  1.48   -32
2016 359  0 57   -0.81   633.2  1.48   -32
2016 359  0 58   -0.57   625.5  1.20   -32
2016 359  0 59   -0.34   624.5  1.16   -32
2016 359  1  0    0.40 99999.9 99.99   -32
2016 359  1  1   -0.11 99999.9 99.99   -31
2016 359  1  2   -0.98   630.6  1.27   -31
2016 359  1  3   -0.07   629.7  1.25   -31
2016 359  1  4   -0.01   621.3  1.14   -31
2016 359  1  5    0.05   632.5  1.41   -31
2016 359  1  6    0.15   632.5  1.41   -31
2016 359  1  7   -1.11   633.5  1.36   -31
2016 359  1  8   -0.78   637.4  1.21   -31
2016 359  1  9   -0.41   623.5  1.24   -31
2016 359  1 10   -1.79   625.4  1.30   -31
2016 359  1 11   -2.07   638.7  1.56   -31
2016 359  1 12   -1.82   642.4  1.36   -31
2016 359  1 13   -1.84   628.2  1.37   -31
2016 359  1 14   -0.59   623.5  1.41   -31
2016 359  1 15   -0.84   639.7  1.44   -31
2016 359  1 16   -0.87   639.7  1.44   -31
2016 359  1 17   -1.05   638.7  1.42   -31
2016 359  1 18   -1.75   628.3  1.23   -31
2016 359  1 19   -1.76   620.5  1.23   -31
2016 359  1 20   -1.71   618.6  1.23   -31
2016 359  1 21   -1.53   615.5  1.18   -31
2016 359  1 22   -1.27   615.5  1.18   -30
2016 359  1 23   -0.92   615.5  1.18   -30
2016 359  1 24   -1.06 99999.9 99.99   -31
2016 359  1 25   -0.55 99999.9 99.99   -30
2016 359  1 26   -0.41   613.0  1.18   -31
2016 359  1 27   -0.32   614.5  1.18   -31
2016 359  1 28   -0.45   617.4  1.19   -31
2016 359  1 29   -0.17   622.5  1.38   -31
2016 359  1 30   -0.91   623.7  1.31   -31
2016 359  1 31   -0.61   624.5  1.26   -32
2016 359  1 32   -0.26   624.5  1.26   -32
2016 359  1 33   -0.10 99999.9 99.99   -33
2016 359  1 34   -0.67   663.3  1.57   -33
2016 359  1 35   -0.26   641.9  1.40   -33
