Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2016 328  0  0   -6.50   449.7  3.89   -11
2016 328  0  1   -6.62   449.2  3.93   -10
2016 328  0  2   -5.20   447.5  4.09   -10
2016 328  0  3   -3.63   446.0  3.24   -10
2016 328  0  4   -4.32   447.8  3.23   -10
2016 328  0  5   -3.40   447.8  3.23   -10
2016 328  0  6   -4.20   452.5  3.73   -11
2016 328  0  7   -4.03   452.5  3.73   -12
2016 328  0  8   -4.78 99999.9 99.99   -13
2016 328  0  9   -5.72 99999.9 99.99   -13
2016 328  0 10   -6.21 99999.9 99.99   -14
2016 328  0 11   -4.43   456.4  3.95   -14
2016 328  0 12   -3.91   456.4  3.95   -15
2016 328  0 13   -3.98 99999.9 99.99   -16
2016 328  0 14   -4.38   459.7  2.88   -15
2016 328  0 15   -5.72   459.7  2.88   -15
2016 328  0 16   -5.39   460.2  2.79   -15
2016 328  0 17   -5.20   460.2  2.79   -15
2016 328  0 18   -5.41   463.8  3.00   -15
2016 328  0 19   -5.49   463.7  3.00   -15
2016 328  0 20   -5.47   463.5  2.80   -15
2016 328  0 21   -5.77   463.5  2.80   -15
2016 328  0 22   -6.04 99999.9 99.99   -16
2016 328  0 23   -6.20   458.8  3.03   -16
2016 328  0 24   -5.78   462.3  3.06   -16
2016 328  0 25   -5.67   465.0  2.81   -17
2016 328  0 26   -5.81   465.7  2.68   -17
2016 328  0 27   -5.97   464.5  3.04   -17
2016 328  0 28   -6.22   463.1  2.93   -17
2016 328  0 29   -4.75   455.6  2.61   -17
2016 328  0 30   -4.85   453.9  2.64   -18
2016 328  0 31   -4.14 99999.9 99.99   -18
2016 328  0 32   -3.40 99999.9 99.99   -18
2016 328  0 33   -2.63 99999.9 99.99   -19
2016 328  0 34   -3.25 99999.9 99.99   -19
2016 328  0 35   -3.94 99999.9 99.99   -20
2016 328  0 36   -4.07 99999.9 99.99   -21
2016 328  0 37   -4.10   455.5  2.03   -21
2016 328  0 38   -3.22   455.5  2.03   -21
2016 328  0 39   -4.79   456.8  2.18   -21
2016 328  0 40   -4.47   458.0  2.11   -21
2016 328  0 41   -4.28   476.9  2.24   -21
2016 328  0 42   -4.13   476.9  2.24   -20
2016 328  0 43   -4.43   471.7  2.21   -20
2016 328  0 44   -5.08   470.5  2.26   -20
2016 328  0 45   -5.59   474.5  2.58   -20
2016 328  0 46   -4.82   475.0  2.44   -21
2016 328  0 47   -3.75   479.2  2.28   -22
2016 328  0 48   -3.15   479.2  2.28   -23
2016 328  0 49   -2.50   478.1  2.29   -24
