Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2016 342  0  0   -1.45   340.9  1.98    -4
2016 342  0  1   -0.79   340.9  1.98    -4
2016 342  0  2   -0.44   338.7  2.04    -5
2016 342  0  3   -0.34   338.3  2.10    -5
2016 342  0  4   -0.42   338.0  2.15    -5
2016 342  0  5   -0.82   339.1  2.05    -5
2016 342  0  6   -1.17   337.6  2.08    -4
2016 342  0  7   -0.74   338.7  2.06    -4
2016 342  0  8   -0.85   340.2  2.01    -4
2016 342  0  9   -1.67   338.9  2.05    -4
2016 342  0 10   -1.20   338.0  2.07    -4
2016 342  0 11    0.09   338.5  2.01    -4
2016 342  0 12   -0.56   333.4  1.81    -4
2016 342  0 13   -1.06   339.6  1.91    -3
2016 342  0 14   -1.13   341.1  1.93    -4
2016 342  0 15   -1.40   341.8  1.93    -4
2016 342  0 16   -1.56 99999.9 99.99    -4
2016 342  0 17   -1.57   341.2  1.92    -4
2016 342  0 18   -2.98   342.8  1.99    -4
2016 342  0 19   -3.08   345.8  2.12    -4
2016 342  0 20   -4.34   343.8  2.05    -4
2016 342  0 21   -3.11   342.5  2.13    -4
2016 342  0 22   -1.89   342.2  2.06    -4
2016 342  0 23   -1.86   342.2  2.04    -4
2016 342  0 24   -2.87   338.3  2.17    -3
2016 342  0 25   -1.49   337.7  1.99    -3
2016 342  0 26    2.14   336.6  1.69    -3
2016 342  0 27    1.97   328.3  2.03    -3
2016 342  0 28    0.91   328.4  2.00    -3
2016 342  0 29    0.80   328.5  1.97    -3
2016 342  0 30    0.95   328.1  2.15    -3
2016 342  0 31    1.60   328.1  2.15    -4
2016 342  0 32    2.84   327.4  2.02    -4
2016 342  0 33    3.11   326.3  1.90    -5
2016 342  0 34    3.27   325.1  1.78    -5
2016 342  0 35    3.27   327.1  1.87    -5
2016 342  0 36    3.48   327.1  1.87    -5
2016 342  0 37    3.44   328.9  1.98    -5
2016 342  0 38    3.62   329.5  2.02    -5
2016 342  0 39    3.66   330.7  2.16    -5
2016 342  0 40    3.76   331.4  2.09    -5
2016 342  0 41    3.71   331.7  2.06    -5
2016 342  0 42    3.90   333.2  1.96    -5
2016 342  0 43    3.85   333.2  1.96    -5
2016 342  0 44    3.86   330.2  1.96    -5
2016 342  0 45    3.52   326.7  2.06    -5
2016 342  0 46    3.74   323.9  2.13    -5
2016 342  0 47    3.85 99999.9 99.99    -5
2016 342  0 48    3.87   327.6  2.07    -5
2016 342  0 49    4.76   328.6  2.04    -4
2016 342  0 50    2.28   329.0  2.03    -5
2016 342  0 51    3.04   329.7  1.73    -5
2016 342  0 52    2.94   329.8  1.74    -5
2016 342  0 53    2.68   330.5  1.85    -5
2016 342  0 54    2.60   330.1  1.85    -5
2016 342  0 55    2.64   330.1  1.85    -4
2016 342  0 56    2.86   330.0  1.87    -5
2016 342  0 57    2.59   330.0  1.87    -5
2016 342  0 58    2.55 99999.9 99.99    -5
2016 342  0 59    3.49   331.2  2.07    -5
2016 342  1  0    4.06   331.0  2.00    -5
2016 342  1  1    3.72   330.3  1.74    -5
2016 342  1  2    3.60   330.3  1.74    -5
2016 342  1  3    3.75   331.8  1.90    -5
2016 342  1  4    3.82   331.8  1.90    -5
2016 342  1  5    3.34   329.6  1.69    -5
2016 342  1  6    3.17   329.4  1.68    -5
2016 342  1  7    2.91   323.9  1.90    -5
2016 342  1  8    3.38   323.9  1.90    -5
2016 342  1  9    3.19   330.9  1.86    -5
2016 342  1 10    2.75   329.0  1.78    -5
2016 342  1 11    2.90   328.0  1.74    -5
2016 342  1 12    2.52   331.4  1.97    -5
2016 342  1 13    2.62   330.9  1.98    -4
2016 342  1 14    2.90   329.4  1.99    -5
2016 342  1 15    3.24   328.1  2.01    -5
2016 342  1 16    3.56   327.4  2.03    -5
2016 342  1 17    3.34   329.3  1.90    -4
2016 342  1 18    3.98   329.7  1.89    -4
2016 342  1 19    3.48   331.4  1.86    -4
2016 342  1 20    3.44   330.4  2.07    -4
2016 342  1 21    3.72   330.4  2.08    -4
2016 342  1 22    3.76   328.8  2.07    -4
2016 342  1 23    3.54   328.8  2.07    -4
2016 342  1 24    3.25   329.7  2.03    -4
2016 342  1 25    1.84   329.7  2.03    -4
2016 342  1 26    3.51   328.5  1.95    -4
2016 342  1 27    4.24   329.2  1.98    -4
2016 342  1 28    4.16   331.3  2.10    -4
2016 342  1 29    4.08   330.6  2.03    -4
2016 342  1 30    4.26   329.8  1.93    -4
2016 342  1 31    3.52   331.0  1.92    -4
2016 342  1 32    3.88   331.1  1.92    -4
2016 342  1 33    3.66   330.9  1.97    -4
2016 342  1 34    3.82   330.9  1.97    -4
2016 342  1 35    3.62   329.3  1.78    -4
2016 342  1 36    3.23   327.9  1.83    -4
2016 342  1 37    3.03   325.4  1.92    -4
2016 342  1 38    2.73   320.8  1.99    -4
2016 342  1 39    2.95   321.3  2.01    -4
2016 342  1 40    3.32   322.0  2.03    -4
2016 342  1 41    3.64   325.8  2.03    -4
2016 342  1 42    1.19   325.2  1.99    -4
2016 342  1 43   -1.47 99999.9 99.99    -4
2016 342  1 44   -1.32   325.9  1.75    -4
