Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2017 284  0  0   -4.69   358.2  3.74   -10
2017 284  0  1   -4.66   357.8  3.69    -9
2017 284  0  2   -5.90   356.9  3.95    -9
2017 284  0  3   -5.91   358.2  4.26   -10
2017 284  0  4   -6.45   358.7  4.38   -10
2017 284  0  5   -6.64   357.9  3.57   -11
2017 284  0  6   -6.73   357.3  3.87   -11
2017 284  0  7   -6.91   357.1  3.93   -11
2017 284  0  8   -6.99   357.9  4.01   -12
2017 284  0  9   -7.19   360.0  3.53   -11
2017 284  0 10   -5.80   360.4  3.45   -11
2017 284  0 11   -3.74   366.0  3.79   -11
2017 284  0 12   -4.02   366.0  3.79   -12
2017 284  0 13   -4.35 99999.9 99.99   -11
2017 284  0 14   -5.48   363.8  3.56   -11
2017 284  0 15   -4.06   363.8  3.56   -10
2017 284  0 16   -3.89 99999.9 99.99   -10
2017 284  0 17   -5.02 99999.9 99.99   -11
2017 284  0 18   -5.32 99999.9 99.99   -11
2017 284  0 19   -5.39   366.2  3.38   -12
2017 284  0 20   -5.28   366.2  3.38   -12
2017 284  0 21   -5.16 99999.9 99.99   -12
2017 284  0 22   -4.86   361.9  3.50   -13
2017 284  0 23   -4.97   366.2  3.80   -13
2017 284  0 24   -4.76   366.3  3.81   -14
2017 284  0 25   -4.73   367.0  3.91   -13
2017 284  0 26   -5.19   367.4  3.90   -14
2017 284  0 27   -5.29   365.1  3.85   -14
2017 284  0 28   -4.13   359.8  3.77   -13
2017 284  0 29   -3.16   353.0  3.32   -14
2017 284  0 30   -1.43   354.0  3.10   -14
2017 284  0 31   -0.18   357.1  3.36   -15
2017 284  0 32   -0.53   355.4  3.34   -16
2017 284  0 33   -1.86   356.1  3.27   -16
2017 284  0 34   -1.88   357.1  3.38   -17
2017 284  0 35   -1.27   353.4  3.40   -18
2017 284  0 36   -0.36   354.7  3.43   -17
2017 284  0 37   -0.68   355.2  3.41   -18
2017 284  0 38   -1.97   355.0  3.35   -18
2017 284  0 39   -2.14   359.2  3.93   -18
2017 284  0 40   -0.73   362.9  4.07   -19
2017 284  0 41    0.55   364.5  4.11   -19
2017 284  0 42   -0.43   362.4  3.93   -18
2017 284  0 43    0.09   361.9  3.81   -18
2017 284  0 44    0.17   360.3  3.67   -18
2017 284  0 45   -0.47   360.5  3.88   -18
2017 284  0 46    1.87   362.5  4.07   -18
2017 284  0 47    1.79   363.3  4.11   -18
2017 284  0 48    2.14   360.6  3.66   -17
2017 284  0 49    3.79   360.5  3.65   -18
2017 284  0 50    5.23 99999.9 99.99   -18
2017 284  0 51    7.17   370.2  3.70   -18
2017 284  0 52    5.09   366.7  3.61   -19
2017 284  0 53    6.88   363.5  3.54   -19
2017 284  0 54    6.89   371.8  3.84   -18
2017 284  0 55    6.12   367.4  3.78   -17
2017 284  0 56    6.48   368.8  3.80   -17
2017 284  0 57    5.48   363.3  3.57   -16
2017 284  0 58    6.26   364.3  3.58   -17
2017 284  0 59    6.37   364.8  3.65   -17
2017 284  1  0    6.22   364.2  3.61   -17
2017 284  1  1    6.72   362.4  3.56   -17
2017 284  1  2    6.64   362.5  3.79   -17
2017 284  1  3    7.19   365.4  3.69   -17
2017 284  1  4    7.31   366.6  3.68   -17
2017 284  1  5    6.73   366.0  3.72   -18
2017 284  1  6    6.42   363.6  3.72   -18
2017 284  1  7    6.58   361.1  3.51   -18
2017 284  1  8    6.35   363.5  3.22   -16
2017 284  1  9    6.60   366.8  3.75   -16
2017 284  1 10    6.09   363.4  3.71   -16
2017 284  1 11    5.46   363.4  3.71   -16
2017 284  1 12    5.33   363.2  3.78   -16
2017 284  1 13    5.17   363.2  3.78   -16
2017 284  1 14    4.96   363.5  3.76   -16
2017 284  1 15    4.14   368.6  3.74   -15
2017 284  1 16    4.96   363.5  4.13   -15
2017 284  1 17    4.20   370.9  4.43   -15
2017 284  1 18    4.22   370.0  3.82   -14
2017 284  1 19    5.40   369.9  3.80   -14
2017 284  1 20    3.32   365.4  3.77   -14
2017 284  1 21   -4.50   365.4  3.77   -13
2017 284  1 22   -6.04 99999.9 99.99   -13
2017 284  1 23   -5.54   373.9  4.12   -12
2017 284  1 24   -6.68   375.0  4.16   -12
2017 284  1 25   -6.66   372.5  4.04   -11
2017 284  1 26   -6.81   371.5  3.99   -11
2017 284  1 27   -7.13   370.5  3.83   -10
2017 284  1 28   -6.59   371.0  3.96   -10
2017 284  1 29   -1.21   373.2  3.86   -10
2017 284  1 30    2.22   375.6  4.14   -10
2017 284  1 31   -2.45   375.6  4.14   -10
2017 284  1 32   -2.72   375.1  4.56    -9
2017 284  1 33   -0.17   375.1  4.60    -8
2017 284  1 34    0.50   374.6  4.60    -9
2017 284  1 35    0.70   372.9  4.31    -8
2017 284  1 36    2.47   374.0  4.38    -9
2017 284  1 37   -0.62   373.2  4.48    -9
2017 284  1 38   -4.06   373.0  4.51    -9
2017 284  1 39   -3.47   374.3  4.12    -9
2017 284  1 40    0.94   373.2  4.27    -9
2017 284  1 41    2.86   372.6  4.34    -8
2017 284  1 42    2.55   372.0  3.81    -8
2017 284  1 43    2.65   371.6  3.88    -8
2017 284  1 44    2.81   370.8  4.03    -8
2017 284  1 45    2.27   370.8  4.05    -8
2017 284  1 46    2.85   370.1  4.25    -8
2017 284  1 47    1.30   370.2  4.23    -8
2017 284  1 48    1.92   372.4  3.92    -8
