Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2017  31  0  0   -3.05   433.2  4.38    -4
2017  31  0  1   -3.70   433.1  4.44    -4
2017  31  0  2   -3.55   433.3  4.32    -4
2017  31  0  3   -3.69   432.2  4.42    -4
2017  31  0  4   -3.60   431.5  4.49    -4
2017  31  0  5   -3.76   433.6  4.51    -4
2017  31  0  6   -3.77   433.9  4.49    -4
2017  31  0  7   -3.79   434.6  4.45    -4
2017  31  0  8   -3.75   434.2  4.58    -5
2017  31  0  9   -3.95   434.6  4.56    -4
2017  31  0 10   -4.08   435.8  4.49    -4
2017  31  0 11   -4.27   437.4  4.40    -4
2017  31  0 12   -3.86   437.3  4.42    -4
2017  31  0 13   -3.31   436.8  4.53    -5
2017  31  0 14   -3.08   435.9  4.46    -5
2017  31  0 15   -3.23   435.9  4.46    -5
2017  31  0 16   -3.17 99999.9 99.99    -5
2017  31  0 17   -3.02   435.6  4.42    -5
2017  31  0 18   -2.88   435.6  4.42    -5
2017  31  0 19   -2.70   430.8  4.22    -6
2017  31  0 20   -2.93   430.8  4.22    -6
2017  31  0 21   -3.22   425.8  3.88    -6
2017  31  0 22   -3.05   425.6  3.99    -5
2017  31  0 23   -3.04   425.2  4.18    -6
2017  31  0 24   -3.26   426.1  4.28    -6
2017  31  0 25   -3.49   426.3  4.27    -6
2017  31  0 26   -3.63   426.6  4.24    -6
2017  31  0 27   -3.43   426.0  4.22    -6
2017  31  0 28   -2.29   425.9  4.27    -6
2017  31  0 29   -2.87   425.7  4.34    -7
2017  31  0 30   -3.01   423.3  4.47    -7
2017  31  0 31   -3.17   422.6  4.49    -7
2017  31  0 32   -3.22   422.3  4.08    -7
2017  31  0 33   -3.18   423.0  4.44    -7
2017  31  0 34   -3.14   423.1  4.45    -7
2017  31  0 35   -3.49   424.6  4.53    -7
2017  31  0 36   -3.45   427.5  4.23    -7
2017  31  0 37   -3.05   424.7  4.61    -7
2017  31  0 38   -3.14   424.3  4.63    -7
2017  31  0 39   -2.49   423.2  4.55    -7
2017  31  0 40   -2.34   423.6  4.59    -7
2017  31  0 41   -3.51   426.5  4.77    -7
2017  31  0 42   -3.05   426.5  4.77    -7
2017  31  0 43   -3.53 99999.9 99.99    -7
2017  31  0 44   -3.61   425.5  4.58    -7
2017  31  0 45   -3.55   425.5  4.58    -8
2017  31  0 46   -3.60   424.7  4.83    -8
2017  31  0 47   -3.57   425.0  4.87    -7
2017  31  0 48   -3.08   426.2  5.01    -8
2017  31  0 49   -2.93   425.5  4.87    -8
2017  31  0 50   -2.75   426.8  4.80    -8
2017  31  0 51   -2.73   425.0  4.75    -8
2017  31  0 52   -3.09   423.3  5.25    -8
2017  31  0 53   -2.84   424.1  4.84    -8
2017  31  0 54   -2.81   422.7  5.06    -8
2017  31  0 55   -2.65   423.4  4.86    -8
2017  31  0 56   -2.30   427.3  5.01    -8
2017  31  0 57   -2.42   427.1  5.01    -9
2017  31  0 58   -1.75   426.7  5.00    -9
2017  31  0 59   -1.77   426.5  5.04    -9
2017  31  1  0   -1.08   428.2  5.05    -9
2017  31  1  1   -1.28   425.5  4.94    -9
2017  31  1  2   -2.06   425.7  4.71    -9
2017  31  1  3   -2.44 99999.9 99.99    -9
2017  31  1  4   -2.68   427.8  5.03    -9
2017  31  1  5   -3.24   429.8  5.41    -9
2017  31  1  6   -3.35   429.0  4.95    -9
2017  31  1  7   -3.29   429.4  5.04    -9
2017  31  1  8   -2.87   429.1  5.08    -9
2017  31  1  9   -2.69   427.1  4.90    -9
2017  31  1 10   -1.88   426.9  4.76    -9
2017  31  1 11   -1.15   425.8  5.34    -9
2017  31  1 12   -1.81   425.7  5.27   -10
2017  31  1 13   -1.06   425.7  5.26   -10
2017  31  1 14   -1.16 99999.9 99.99   -10
2017  31  1 15   -1.76   428.0  5.45   -10
2017  31  1 16   -1.82   428.0  5.44   -10
2017  31  1 17   -2.28   428.1  5.44   -10
2017  31  1 18   -3.08   434.5  4.84   -11
2017  31  1 19   -2.27   429.8  5.17   -10
2017  31  1 20    0.14   427.1  5.26   -10
2017  31  1 21    0.62   425.9  5.28   -10
2017  31  1 22   -0.23   425.6  5.17   -10
2017  31  1 23   -3.17   430.8  4.76    -9
2017  31  1 24   -4.62   435.2  4.99    -9
2017  31  1 25   -5.05   431.2  4.52    -9
2017  31  1 26   -3.87 99999.9 99.99    -9
2017  31  1 27   -4.09   431.3  5.00    -9
2017  31  1 28   -1.69   434.0  5.12    -9
2017  31  1 29    0.55   431.2  4.60   -10
2017  31  1 30   -0.79   432.4  4.81   -10
2017  31  1 31   -2.93   431.4  4.91   -11
2017  31  1 32   -1.06   431.1  4.43   -11
2017  31  1 33    0.54   431.1  4.30   -12
2017  31  1 34    0.52 99999.9 99.99   -12
2017  31  1 35    0.65   432.7  4.09   -12
2017  31  1 36    0.75   432.7  4.09   -12
2017  31  1 37 9999.99 99999.9 99.99   -12
2017  31  1 38    1.55 99999.9 99.99   -11
2017  31  1 39    1.41   429.7  4.03   -11
2017  31  1 40 9999.99   429.7  4.03   -11
2017  31  1 41    1.63 99999.9 99.99   -11
2017  31  1 42    2.32 99999.9 99.99   -11
2017  31  1 43    2.45 99999.9 99.99   -11
2017  31  1 44    2.41   433.1  3.73   -12
2017  31  1 45    1.45   433.1  3.73   -13
2017  31  1 46    1.57 99999.9 99.99   -13
2017  31  1 47    1.81 99999.9 99.99   -13
2017  31  1 48    2.20   439.1  4.22   -13
2017  31  1 49    2.40   439.1  4.22   -13
2017  31  1 50    2.40 99999.9 99.99   -13
2017  31  1 51    2.72 99999.9 99.99   -13
2017  31  1 52    2.65 99999.9 99.99   -13
2017  31  1 53    2.45   437.8  3.62   -13
2017  31  1 54    2.19   437.8  3.62   -13
2017  31  1 55    1.80 99999.9 99.99   -13
2017  31  1 56    1.22 99999.9 99.99   -12
2017  31  1 57    0.66   442.7  3.64   -12
2017  31  1 58    1.39   442.7  3.64   -12
2017  31  1 59    1.87   445.4  3.79   -11
2017  31  2  0    1.64   442.7  3.68   -11
2017  31  2  1    0.83   446.1  3.86   -11
2017  31  2  2    0.74 99999.9 99.99   -11
2017  31  2  3    0.99 99999.9 99.99   -11
2017  31  2  4    0.86   443.0  4.16   -11
2017  31  2  5    1.07   443.0  4.15   -11
2017  31  2  6    0.78   443.1  4.12   -11
2017  31  2  7   -0.28   443.1  4.12   -11
2017  31  2  8    0.18   443.0  4.20   -11
2017  31  2  9    0.36   443.0  4.20   -11
2017  31  2 10    1.34   445.2  3.69   -11
2017  31  2 11    0.93   445.2  3.69   -11
2017  31  2 12   -0.02   448.9  4.35   -11
2017  31  2 13    1.61   448.9  4.35   -11
2017  31  2 14    1.00   446.0  4.12   -11
2017  31  2 15    0.32   446.0  4.12   -10
2017  31  2 16   -0.62   449.0  4.20   -10
2017  31  2 17   -1.27   449.0  4.20    -9
2017  31  2 18   -1.24   450.9  4.16    -8
2017  31  2 19   -1.48   450.9  4.16    -9
2017  31  2 20   -1.60   448.6  4.40    -9
2017  31  2 21   -1.37   448.6  4.40    -9
2017  31  2 22   -0.83   448.4  4.07    -9
2017  31  2 23    1.77   448.4  4.07    -9
2017  31  2 24    0.03   447.2  4.08    -9
2017  31  2 25    0.42   447.2  4.08    -9
2017  31  2 26   -0.85   453.0  4.70   -10
2017  31  2 27   -1.05   453.0  4.70    -9
2017  31  2 28    0.11   448.5  4.69    -9
2017  31  2 29   -2.28   448.5  4.69    -9
2017  31  2 30   -1.93   455.9  4.98    -9
2017  31  2 31   -2.86   448.8  4.72    -9
2017  31  2 32   -4.87 99999.9 99.99    -8
2017  31  2 33   -5.11 99999.9 99.99    -8
2017  31  2 34   -4.81 99999.9 99.99    -8
2017  31  2 35   -5.26 99999.9 99.99    -8
2017  31  2 36   -4.83   455.6  4.31    -8
2017  31  2 37   -5.03   455.6  4.31    -8
2017  31  2 38   -3.59   460.0  4.19    -8
2017  31  2 39   -2.73   460.0  4.19    -8
2017  31  2 40   -0.18   460.8  5.33    -8
2017  31  2 41   -0.34   460.7  5.33    -8
2017  31  2 42   -0.65 99999.9 99.99    -8
2017  31  2 43   -0.17 99999.9 99.99    -8
2017  31  2 44   -0.05   458.4  5.13    -8
2017  31  2 45   -1.16   458.4  5.13    -9
2017  31  2 46   -0.86 99999.9 99.99    -9
2017  31  2 47    0.03 99999.9 99.99    -9
2017  31  2 48    0.00   453.3  4.89    -9
2017  31  2 49   -0.63   453.3  4.89   -10
2017  31  2 50    1.30   451.5  4.81   -10
2017  31  2 51    0.44   444.9  4.88   -10
2017  31  2 52    0.15   445.1  5.32   -11
2017  31  2 53    1.23   444.7  5.67   -11
2017  31  2 54    1.68   443.3  5.73   -12
2017  31  2 55    2.14   458.4  4.73   -12
2017  31  2 56    2.27   444.8  5.10   -13
2017  31  2 57    2.24   454.1  4.85   -13
2017  31  2 58    2.28   457.1  4.61   -14
2017  31  2 59    3.35   452.5  4.62   -14
2017  31  3  0   -2.25 99999.9 99.99   -15
2017  31  3  1   -2.00 99999.9 99.99   -15
2017  31  3  2   -1.23   493.5  3.73   -14
2017  31  3  3    0.13   492.5  3.75   -14
2017  31  3  4    1.28 99999.9 99.99   -14
2017  31  3  5    1.16 99999.9 99.99   -14
2017  31  3  6   -0.41 99999.9 99.99   -14
2017  31  3  7   -1.91   491.7  3.70   -14
2017  31  3  8   -2.19   491.7  3.70   -14
2017  31  3  9   -2.19   499.2  3.97   -14
2017  31  3 10   -2.10   499.4  4.00   -13
2017  31  3 11   -1.49   499.7  4.04   -13
2017  31  3 12   -1.75   499.7  4.04   -12
2017  31  3 13   -1.84 99999.9 99.99   -13
2017  31  3 14   -1.88 99999.9 99.99   -13
2017  31  3 15   -2.44 99999.9 99.99   -13
2017  31  3 16   -2.46   492.1  3.85   -14
2017  31  3 17   -2.38   490.4  3.76   -14
2017  31  3 18   -2.18   489.0  3.69   -14
