Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2017 146  0  0    1.80   331.3  0.83    -8
2017 146  0  1    1.38 99999.9 99.99    -9
2017 146  0  2    1.29   331.5  0.85    -8
2017 146  0  3    1.35   331.5  0.85    -8
2017 146  0  4    1.46 99999.9 99.99    -8
2017 146  0  5    1.44 99999.9 99.99    -8
2017 146  0  6    1.43   332.8  0.86    -8
2017 146  0  7    1.33   332.4  0.86    -8
2017 146  0  8    1.22   331.3  0.87    -8
2017 146  0  9    1.17 99999.9 99.99    -8
2017 146  0 10    1.17 99999.9 99.99    -8
2017 146  0 11    1.34   330.5  0.84    -8
2017 146  0 12    1.43   330.8  0.84    -8
2017 146  0 13    1.68   331.1  0.85    -8
2017 146  0 14    1.55   332.0  0.87    -8
2017 146  0 15    2.01   332.0  0.87    -8
2017 146  0 16    1.43   332.0  0.87    -8
2017 146  0 17    0.77 99999.9 99.99    -7
2017 146  0 18    0.77 99999.9 99.99    -8
2017 146  0 19    0.18 99999.9 99.99    -7
2017 146  0 20    0.30 99999.9 99.99    -7
2017 146  0 21    0.30 99999.9 99.99    -8
2017 146  0 22    0.26   331.8  0.86    -7
2017 146  0 23    0.18   331.8  0.86    -7
2017 146  0 24    0.09   332.1  0.87    -7
2017 146  0 25    0.28   332.1  0.87    -7
2017 146  0 26   -0.01   331.8  0.92    -7
2017 146  0 27   -0.24   332.6  0.92    -7
2017 146  0 28   -0.37   334.1  0.91    -7
2017 146  0 29   -0.51 99999.9 99.99    -7
2017 146  0 30   -0.54 99999.9 99.99    -7
2017 146  0 31   -0.49   332.8  0.89    -7
2017 146  0 32   -0.44   332.8  0.89    -6
2017 146  0 33   -0.42 99999.9 99.99    -7
2017 146  0 34   -0.78 99999.9 99.99    -7
2017 146  0 35   -1.06 99999.9 99.99    -7
2017 146  0 36   -1.20 99999.9 99.99    -7
2017 146  0 37   -0.77 99999.9 99.99    -7
2017 146  0 38   -0.36 99999.9 99.99    -7
2017 146  0 39   -0.56 99999.9 99.99    -7
2017 146  0 40   -0.87 99999.9 99.99    -7
2017 146  0 41   -0.95 99999.9 99.99    -6
2017 146  0 42   -1.27 99999.9 99.99    -6
2017 146  0 43   -1.37 99999.9 99.99    -7
2017 146  0 44   -1.27 99999.9 99.99    -7
2017 146  0 45   -1.57 99999.9 99.99    -7
2017 146  0 46   -1.44   334.8  1.01    -7
2017 146  0 47   -1.82   334.2  1.00    -7
2017 146  0 48   -1.59   332.2  0.97    -7
2017 146  0 49   -0.83   329.4  0.89    -7
2017 146  0 50   -0.94   329.3  0.89    -7
2017 146  0 51   -0.52   329.4  0.90    -7
2017 146  0 52   -0.39   331.2  0.92    -7
2017 146  0 53    0.20   330.6  0.93    -7
2017 146  0 54   -0.33   328.8  0.97    -7
2017 146  0 55    0.22   328.2  0.93    -7
2017 146  0 56    0.29   328.2  0.93    -7
2017 146  0 57    0.35 99999.9 99.99    -7
2017 146  0 58    0.24   326.3  0.93    -7
2017 146  0 59    0.21   326.3  0.93    -7
2017 146  1  0    0.18 99999.9 99.99    -7
2017 146  1  1    0.16   324.3  0.92    -6
2017 146  1  2    0.46   324.3  0.92    -6
2017 146  1  3    0.55 99999.9 99.99    -7
2017 146  1  4    0.55   327.1  0.83    -7
2017 146  1  5    0.45   326.6  0.84    -7
2017 146  1  6    0.38   326.1  0.86    -6
2017 146  1  7    0.43   327.7  0.83    -6
2017 146  1  8    0.28   327.3  0.84    -6
2017 146  1  9    0.22   325.7  0.85    -6
2017 146  1 10    0.28 99999.9 99.99    -6
2017 146  1 11    0.14   327.5  0.85    -6
2017 146  1 12    0.28   327.5  0.85    -6
2017 146  1 13    0.70   324.7  0.84    -6
2017 146  1 14    1.10   325.2  0.82    -6
2017 146  1 15    0.79   329.2  0.76    -6
2017 146  1 16    0.94   329.2  0.76    -6
2017 146  1 17    1.46   336.3  0.89    -6
2017 146  1 18    1.65   333.9  0.88    -6
2017 146  1 19    1.26   334.2  0.85    -5
2017 146  1 20    1.53   337.2  0.84    -5
2017 146  1 21    1.51   337.4  0.83    -5
2017 146  1 22    1.45   335.2  0.87    -5
2017 146  1 23    1.28   335.4  0.86    -5
2017 146  1 24    1.59   335.5  0.86    -5
2017 146  1 25 9999.99   335.3  0.85    -5
2017 146  1 26    1.46 99999.9 99.99    -5
2017 146  1 27 9999.99 99999.9 99.99    -5
2017 146  1 28    1.54 99999.9 99.99    -5
2017 146  1 29    1.59 99999.9 99.99    -5
2017 146  1 30    1.59 99999.9 99.99    -5
2017 146  1 31    1.57 99999.9 99.99    -5
2017 146  1 32    1.57 99999.9 99.99    -5
2017 146  1 33    1.46 99999.9 99.99    -5
2017 146  1 34 9999.99 99999.9 99.99    -5
2017 146  1 35    1.50   338.7  0.82    -5
2017 146  1 36 9999.99   338.7  0.82    -5
2017 146  1 37    1.57 99999.9 99.99    -5
2017 146  1 38 9999.99 99999.9 99.99    -5
2017 146  1 39    1.24 99999.9 99.99    -5
2017 146  1 40 9999.99 99999.9 99.99    -5
2017 146  1 41    0.92 99999.9 99.99    -5
2017 146  1 42    0.99 99999.9 99.99    -5
2017 146  1 43    1.00 99999.9 99.99    -5
2017 146  1 44    1.41 99999.9 99.99    -5
2017 146  1 45 9999.99 99999.9 99.99    -5
2017 146  1 46    1.34 99999.9 99.99    -5
2017 146  1 47    1.30   335.6  0.73    -5
2017 146  1 48    1.30   335.6  0.73    -5
2017 146  1 49    1.25   335.6  0.73    -5
2017 146  1 50    1.24 99999.9 99.99    -5
2017 146  1 51 9999.99 99999.9 99.99    -5
2017 146  1 52    1.40   335.5  0.78    -5
2017 146  1 53    1.47   335.5  0.78    -5
2017 146  1 54    1.58 99999.9 99.99    -5
2017 146  1 55    1.54   336.9  0.73    -5
2017 146  1 56    1.48   336.9  0.73    -5
2017 146  1 57    1.47   336.9  0.73    -5
2017 146  1 58    1.47 99999.9 99.99    -5
2017 146  1 59    1.51 99999.9 99.99    -5
2017 146  2  0    1.55 99999.9 99.99    -5
2017 146  2  1 9999.99 99999.9 99.99    -5
2017 146  2  2    1.64 99999.9 99.99    -5
2017 146  2  3    1.68   337.0  0.78    -5
2017 146  2  4    1.58   337.0  0.78    -5
2017 146  2  5    1.55   336.9  0.79    -5
2017 146  2  6    1.52   336.9  0.79    -5
2017 146  2  7    1.42 99999.9 99.99    -5
2017 146  2  8    1.46 99999.9 99.99    -5
2017 146  2  9    1.48   335.3  0.71    -5
2017 146  2 10    1.52   335.3  0.71    -5
2017 146  2 11    1.60 99999.9 99.99    -5
2017 146  2 12    1.60 99999.9 99.99    -5
2017 146  2 13    1.59 99999.9 99.99    -4
2017 146  2 14    1.56   335.7  0.70    -5
2017 146  2 15    1.57   335.7  0.70    -4
2017 146  2 16    1.57   335.7  0.70    -4
2017 146  2 17    1.17   320.1  1.08    -4
2017 146  2 18    1.43   322.2  1.03    -4
2017 146  2 19    1.21   334.7  0.73    -4
2017 146  2 20    1.16   334.6  0.73    -4
2017 146  2 21    1.36   334.4  0.74    -4
2017 146  2 22    1.14   334.4  0.74    -4
2017 146  2 23    1.21   334.2  0.75    -4
2017 146  2 24    1.64   323.3  0.86    -4
2017 146  2 25    1.66   325.4  0.85    -4
2017 146  2 26    1.51   329.5  0.77    -4
