Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2016 316  0  0   -6.94 99999.9 99.99   -45
2016 316  0  1 9999.99 99999.9 99.99   -45
2016 316  0  2   -7.08 99999.9 99.99   -46
2016 316  0  3   -7.08 99999.9 99.99   -46
2016 316  0  4 9999.99 99999.9 99.99   -45
2016 316  0  5   -7.22 99999.9 99.99   -46
2016 316  0  6 9999.99 99999.9 99.99   -46
2016 316  0  7 9999.99   440.1  3.66   -46
2016 316  0  8   -7.58   440.1  3.66   -46
2016 316  0  9 9999.99 99999.9 99.99   -47
2016 316  0 10   -7.23 99999.9 99.99   -47
2016 316  0 11 9999.99 99999.9 99.99   -47
2016 316  0 12   -7.06 99999.9 99.99   -47
2016 316  0 13   -7.06 99999.9 99.99   -47
2016 316  0 14 9999.99 99999.9 99.99   -47
2016 316  0 15   -6.90 99999.9 99.99   -48
2016 316  0 16 9999.99 99999.9 99.99   -48
2016 316  0 17   -7.24   440.8  3.66   -48
2016 316  0 18   -7.24   440.8  3.66   -48
2016 316  0 19 9999.99 99999.9 99.99   -48
2016 316  0 20   -7.16 99999.9 99.99   -48
2016 316  0 21 9999.99 99999.9 99.99   -49
2016 316  0 22 9999.99 99999.9 99.99   -49
2016 316  0 23   -7.04 99999.9 99.99   -49
2016 316  0 24 9999.99 99999.9 99.99   -49
2016 316  0 25 9999.99 99999.9 99.99   -49
2016 316  0 26   -6.73 99999.9 99.99   -50
2016 316  0 27 9999.99 99999.9 99.99   -50
2016 316  0 28 9999.99 99999.9 99.99   -50
2016 316  0 29   -6.83   443.1  3.57   -50
2016 316  0 30 9999.99   443.1  3.57   -51
2016 316  0 31 9999.99 99999.9 99.99   -50
2016 316  0 32   -6.41 99999.9 99.99   -50
2016 316  0 33 9999.99 99999.9 99.99   -50
2016 316  0 34 9999.99 99999.9 99.99   -49
2016 316  0 35   -6.49 99999.9 99.99   -49
2016 316  0 36   -5.32   436.7  3.98   -49
2016 316  0 37   -4.79   436.8  3.83   -48
2016 316  0 38   -4.11   439.3  3.72   -48
2016 316  0 39   -3.80   439.5  3.64   -48
2016 316  0 40   -3.90   438.0  3.65   -48
2016 316  0 41   -3.33   438.3  3.76   -48
2016 316  0 42   -3.54   440.6  3.54   -48
2016 316  0 43   -5.17   442.9  3.42   -48
2016 316  0 44   -5.07   443.6  3.39   -48
2016 316  0 45   -5.22   448.8  3.39   -49
2016 316  0 46   -4.03   448.8  3.39   -48
2016 316  0 47   -3.24   442.9  3.61   -48
2016 316  0 48   -2.66   442.6  3.57   -49
2016 316  0 49 9999.99   450.2  3.32   -49
2016 316  0 50 9999.99 99999.9 99.99   -49
2016 316  0 51   -2.01 99999.9 99.99   -49
2016 316  0 52   -2.00 99999.9 99.99   -49
2016 316  0 53 9999.99 99999.9 99.99   -49
2016 316  0 54    2.28 99999.9 99.99   -49
2016 316  0 55    2.28 99999.9 99.99   -49
2016 316  0 56 9999.99 99999.9 99.99   -49
