Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2017  79  0  0    2.36   311.2  1.92    -3
2017  79  0  1    2.37   311.9  1.97    -3
2017  79  0  2    2.50   311.9  1.97    -3
2017  79  0  3    2.28 99999.9 99.99    -3
2017  79  0  4    2.39   312.0  1.92    -3
2017  79  0  5    2.49   311.8  1.93    -3
2017  79  0  6    2.40   311.1  1.95    -3
2017  79  0  7    1.69   311.6  1.92    -3
2017  79  0  8    1.63   316.5  1.82    -3
2017  79  0  9    1.50 99999.9 99.99    -3
2017  79  0 10    1.79   314.9  1.83    -3
2017  79  0 11    1.93   314.2  1.82    -3
2017  79  0 12    2.05   310.0  1.73    -3
2017  79  0 13    2.06   314.2  1.78    -3
2017  79  0 14    1.48   312.7  1.45    -3
2017  79  0 15    2.09   313.1  1.56    -3
2017  79  0 16    2.21   313.9  1.75    -3
2017  79  0 17    2.17   313.6  1.83    -3
2017  79  0 18    2.57   314.1  1.88    -3
2017  79  0 19    1.95   313.8  1.88    -3
2017  79  0 20    1.61   316.0  1.85    -3
2017  79  0 21    1.74   316.7  1.84    -3
2017  79  0 22    2.42   314.1  1.90    -3
2017  79  0 23    2.74   314.1  1.90    -3
2017  79  0 24    2.90 99999.9 99.99    -3
2017  79  0 25    3.07   311.2  1.83    -3
2017  79  0 26    3.33   308.8  1.80    -3
2017  79  0 27    3.28   311.7  1.86    -3
2017  79  0 28    3.76   313.4  1.84    -3
2017  79  0 29    3.65   313.7  1.83    -3
2017  79  0 30    3.94   314.7  1.84    -3
2017  79  0 31    3.87   314.7  1.84    -3
2017  79  0 32    3.82   313.1  1.88    -3
2017  79  0 33    3.42   312.8  1.88    -3
2017  79  0 34    3.63   312.4  1.90    -3
2017  79  0 35    3.71   311.3  1.92    -3
2017  79  0 36    3.62   311.4  1.91    -3
2017  79  0 37    3.53   312.3  1.85    -3
2017  79  0 38    3.42   313.2  1.90    -3
2017  79  0 39    3.53   313.2  1.98    -3
2017  79  0 40    3.74   313.2  1.99    -3
2017  79  0 41    3.75   314.0  1.91    -3
2017  79  0 42    3.72   314.0  1.91    -3
2017  79  0 43    3.65   312.4  1.90    -3
2017  79  0 44    3.56   312.1  1.91    -3
2017  79  0 45    3.63   311.4  1.93    -3
2017  79  0 46    3.74   310.8  2.00    -3
2017  79  0 47    3.62   311.5  1.91    -3
2017  79  0 48    3.59   310.5  1.82    -3
2017  79  0 49    3.42   308.9  1.72    -3
2017  79  0 50    3.54   313.1  1.85    -3
2017  79  0 51    3.23   313.1  1.85    -3
2017  79  0 52    3.60   312.8  1.74    -3
2017  79  0 53    3.50   313.1  1.82    -3
2017  79  0 54    3.65   313.3  1.86    -3
2017  79  0 55    3.51   313.6  1.91    -2
2017  79  0 56    3.47   313.6  1.91    -2
2017  79  0 57    3.50   313.5  1.92    -2
