Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Flow pressure, nPa
 4 SYM/H, nT

YYYY DOY HR MN      1       2     3     4 
2017  86  0  0    0.01   371.4  4.45    12
2017  86  0  1   -0.94   371.2  4.43    12
2017  86  0  2   -1.58   371.5  4.60    11
2017  86  0  3   -1.61   371.3  4.51    11
2017  86  0  4   -1.88   371.0  4.41    11
2017  86  0  5   -1.65   370.4  4.45    11
2017  86  0  6   -0.78   370.2  4.57    12
2017  86  0  7    2.07   370.0  4.84    12
2017  86  0  8    0.88   373.1  5.25    12
2017  86  0  9    0.60   372.1  5.25    12
2017  86  0 10    1.16 99999.9 99.99    13
2017  86  0 11    0.89   372.0  5.16    14
2017  86  0 12    1.33   372.0  5.23    14
2017  86  0 13    0.66   371.6  5.31    13
2017  86  0 14    0.65   371.2  5.27    14
2017  86  0 15    0.53   372.8  5.13    14
2017  86  0 16    0.90   372.8  5.13    14
2017  86  0 17    0.53   372.8  5.13    14
2017  86  0 18    0.30   370.9  4.83    14
2017  86  0 19    0.06   371.3  4.67    13
2017  86  0 20    0.05   371.9  4.40    13
2017  86  0 21   -0.43   371.9  4.58    13
2017  86  0 22   -0.26   372.0  4.66    12
2017  86  0 23   -0.25   372.2  4.75    12
2017  86  0 24   -0.26   372.3  4.73    11
2017  86  0 25   -0.23   372.3  4.72    11
2017  86  0 26   -0.16   372.6  4.71    11
2017  86  0 27   -0.20   372.6  4.70    11
2017  86  0 28   -0.22   372.5  4.76    11
2017  86  0 29   -0.22   372.5  4.76    11
2017  86  0 30   -0.20   371.7  4.74    11
2017  86  0 31   -0.02   371.8  4.78    12
2017  86  0 32    0.06   372.0  4.94    12
2017  86  0 33    0.22   372.0  4.97    12
2017  86  0 34    0.13   370.5  5.44    12
2017  86  0 35   -0.20   371.8  5.43    12
2017  86  0 36   -0.11   371.9  5.58    12
2017  86  0 37    1.14   371.5  5.74    13
2017  86  0 38   -0.53   372.0  6.08    13
